rfp_id,product_score,relationship_score,won_flag
RFP-1000,0.56,0.96,1
RFP-1001,0.41,0.25,0
RFP-1002,0.72,0.77,1
RFP-1003,0.43,0.44,0
RFP-1004,0.6,0.43,1
RFP-1005,0.56,0.56,0
RFP-1006,0.44,0.61,0
RFP-1007,0.42,0.25,0
RFP-1008,0.98,0.85,1
RFP-1009,0.61,0.3,0
RFP-1010,0.32,0.93,1
RFP-1011,0.66,0.64,1
RFP-1012,0.98,0.82,1
RFP-1013,0.44,0.24,1
RFP-1014,0.57,0.42,1
RFP-1015,0.68,0.31,0
RFP-1016,0.35,0.99,1
RFP-1017,0.87,0.77,1
RFP-1018,0.84,0.26,0
RFP-1019,0.74,0.46,1
RFP-1020,0.52,0.46,0
RFP-1021,0.63,0.3,0
RFP-1022,0.83,0.65,1
RFP-1023,0.6,0.22,1
RFP-1024,0.32,0.71,0
RFP-1025,0.47,0.53,0
RFP-1026,0.46,0.26,0
RFP-1027,0.87,0.71,0
RFP-1028,0.86,0.35,0
RFP-1029,0.93,0.45,1
RFP-1030,0.46,0.54,1
RFP-1031,0.66,0.53,1
RFP-1032,0.38,0.47,0
RFP-1033,0.79,0.49,0
RFP-1034,0.97,0.4,1
RFP-1035,0.33,0.69,0
RFP-1036,0.34,0.42,1
RFP-1037,0.64,0.99,1
RFP-1038,0.77,0.81,1
RFP-1039,0.74,0.71,1
RFP-1040,0.36,0.87,1
RFP-1041,0.71,0.74,1
RFP-1042,0.66,0.38,0
RFP-1043,0.57,0.95,1
RFP-1044,0.54,0.29,0
RFP-1045,0.69,0.62,1
RFP-1046,0.37,0.92,1
RFP-1047,0.54,0.78,0
RFP-1048,0.92,0.82,1
RFP-1049,0.93,0.69,1
RFP-1050,0.37,0.73,1
RFP-1051,0.46,0.77,1
RFP-1052,0.53,0.8,1
RFP-1053,0.7,0.27,1
RFP-1054,0.49,0.4,0
RFP-1055,0.74,0.84,1
RFP-1056,0.7,0.59,1
RFP-1057,0.32,0.72,1
RFP-1058,0.96,0.96,1
RFP-1059,0.95,0.54,0
RFP-1060,0.97,0.88,1
RFP-1061,0.52,0.34,0
RFP-1062,0.96,0.76,1
RFP-1063,0.99,0.31,1
RFP-1064,0.91,0.79,1
RFP-1065,0.51,0.85,0
RFP-1066,0.91,0.93,1
RFP-1067,0.75,0.76,1
RFP-1068,0.92,0.47,1
RFP-1069,0.33,0.57,0
RFP-1070,0.5,0.67,1
RFP-1071,0.67,0.82,1
RFP-1072,0.74,0.27,1
RFP-1073,0.75,0.78,0
RFP-1074,0.66,0.46,1
RFP-1075,0.35,0.22,0
RFP-1076,0.89,0.76,1
RFP-1077,0.48,0.64,0
RFP-1078,0.76,0.42,1
RFP-1079,0.47,0.48,0
RFP-1080,0.31,0.29,0
RFP-1081,0.37,0.59,1
RFP-1082,0.42,0.55,0
RFP-1083,0.33,0.5,0
RFP-1084,0.65,0.89,1
RFP-1085,0.75,0.22,0
RFP-1086,0.96,0.66,1
RFP-1087,0.68,0.95,1
RFP-1088,0.97,0.92,1
RFP-1089,0.52,0.88,1
RFP-1090,0.87,0.43,1
RFP-1091,0.91,0.79,1
RFP-1092,0.5,0.34,0
RFP-1093,0.59,0.5,0
RFP-1094,0.54,0.94,0
RFP-1095,0.83,0.28,0
RFP-1096,0.65,0.86,1
RFP-1097,0.31,0.92,1
RFP-1098,0.52,0.96,1
RFP-1099,0.61,0.43,1
RFP-1100,0.77,0.8,1
RFP-1101,0.65,0.25,0
RFP-1102,0.61,0.91,1
RFP-1103,0.83,0.69,1
RFP-1104,0.36,0.76,1
RFP-1105,0.99,0.5,1
RFP-1106,0.87,0.96,1
RFP-1107,0.69,0.54,0
RFP-1108,0.38,0.59,1
RFP-1109,0.38,0.29,0
RFP-1110,0.82,0.67,1
RFP-1111,0.91,0.38,0
RFP-1112,0.31,0.98,1
RFP-1113,0.69,0.98,1
RFP-1114,0.74,0.76,1
RFP-1115,0.93,0.24,1
RFP-1116,0.97,0.91,1
RFP-1117,0.43,0.57,1
RFP-1118,0.71,0.26,1
RFP-1119,0.87,0.75,1
RFP-1120,0.94,0.86,0
RFP-1121,0.91,0.24,1
RFP-1122,0.56,0.85,0
RFP-1123,0.89,0.87,1
RFP-1124,0.59,0.42,0
RFP-1125,0.96,0.88,1
RFP-1126,0.62,0.3,1
RFP-1127,0.77,0.69,1
RFP-1128,0.38,0.74,1
RFP-1129,0.9,0.64,1
RFP-1130,0.91,0.52,1
RFP-1131,0.45,0.31,1
RFP-1132,0.55,0.67,0
RFP-1133,0.54,0.61,0
RFP-1134,0.58,0.7,1
RFP-1135,0.99,0.59,1
RFP-1136,0.74,0.39,1
RFP-1137,0.54,0.92,1
RFP-1138,0.77,0.34,1
RFP-1139,0.36,0.3,0
RFP-1140,0.44,0.49,1
RFP-1141,0.86,0.7,1
RFP-1142,0.91,0.94,1
RFP-1143,0.82,0.35,1
RFP-1144,0.56,0.59,0
RFP-1145,0.82,0.23,1
RFP-1146,0.8,0.92,1
RFP-1147,0.61,0.63,1
RFP-1148,0.49,0.5,1
RFP-1149,0.92,0.67,1
RFP-1150,0.85,0.6,1
RFP-1151,0.82,0.55,1
RFP-1152,0.5,0.49,1
RFP-1153,0.99,0.68,1
RFP-1154,0.37,0.32,1
RFP-1155,0.5,0.34,0
RFP-1156,0.36,0.62,1
RFP-1157,0.58,0.98,0
RFP-1158,0.87,0.41,0
RFP-1159,0.69,0.66,1
RFP-1160,0.84,0.35,1
RFP-1161,0.47,0.29,0
RFP-1162,0.5,0.66,1
RFP-1163,0.34,0.47,1
RFP-1164,0.34,0.99,1
RFP-1165,0.78,0.81,1
RFP-1166,0.63,0.53,0
RFP-1167,0.98,0.3,0
RFP-1168,0.96,0.34,1
RFP-1169,0.89,0.31,0
RFP-1170,0.44,0.33,0
RFP-1171,0.67,0.49,0
RFP-1172,0.57,0.85,1
RFP-1173,0.51,0.8,1
RFP-1174,0.46,0.92,0
RFP-1175,0.74,0.29,0
RFP-1176,0.74,0.47,1
RFP-1177,0.67,0.92,0
RFP-1178,0.41,0.45,1
RFP-1179,0.7,0.81,0
RFP-1180,0.54,0.86,0
RFP-1181,0.4,0.38,0
RFP-1182,0.8,0.71,1
RFP-1183,0.54,0.35,0
RFP-1184,0.71,0.52,1
RFP-1185,0.71,0.6,1
RFP-1186,0.31,0.9,0
RFP-1187,0.95,0.77,1
RFP-1188,0.7,0.69,0
RFP-1189,0.95,0.56,1
RFP-1190,0.99,0.87,1
RFP-1191,0.58,0.24,1
RFP-1192,0.86,0.2,0
RFP-1193,0.94,0.48,1
RFP-1194,0.82,0.56,1
RFP-1195,0.42,0.6,0
RFP-1196,0.94,0.49,1
RFP-1197,0.76,0.34,0
RFP-1198,0.4,0.53,1
RFP-1199,0.82,0.37,0
RFP-1200,0.44,0.35,0
RFP-1201,0.35,0.82,1
RFP-1202,0.67,0.55,1
RFP-1203,0.43,0.89,0
RFP-1204,0.56,0.42,1
RFP-1205,0.41,0.77,1
RFP-1206,0.32,0.38,1
RFP-1207,0.37,0.84,1
RFP-1208,0.76,0.39,0
RFP-1209,0.9,0.86,1
RFP-1210,0.77,0.36,1
RFP-1211,0.36,0.37,1
RFP-1212,0.43,0.67,0
RFP-1213,0.54,0.41,1
RFP-1214,0.71,0.41,0
RFP-1215,0.61,0.44,0
RFP-1216,0.83,0.31,0
RFP-1217,0.86,0.54,1
RFP-1218,0.49,0.63,1
RFP-1219,0.88,0.99,1
RFP-1220,0.42,0.42,1
RFP-1221,0.69,0.72,0
RFP-1222,0.44,0.21,0
RFP-1223,0.77,0.34,0
RFP-1224,0.59,0.51,1
RFP-1225,0.82,0.27,0
RFP-1226,0.47,0.51,0
RFP-1227,0.51,0.65,0
RFP-1228,0.76,0.95,1
RFP-1229,0.48,0.68,1
RFP-1230,0.65,0.68,1
RFP-1231,0.35,0.78,0
RFP-1232,0.78,0.55,0
RFP-1233,0.79,0.42,1
RFP-1234,0.55,0.27,1
RFP-1235,0.68,0.9,1
RFP-1236,0.86,0.73,1
RFP-1237,0.64,0.38,0
RFP-1238,0.96,0.23,1
RFP-1239,0.7,0.93,1
RFP-1240,0.79,0.44,0
RFP-1241,0.89,0.46,0
RFP-1242,0.33,0.68,1
RFP-1243,0.79,0.47,0
RFP-1244,0.35,0.45,1
RFP-1245,0.74,0.91,1
RFP-1246,0.46,0.22,0
RFP-1247,0.86,1.0,1
RFP-1248,0.84,0.52,1
RFP-1249,0.99,0.81,1
RFP-1250,0.59,0.79,1
RFP-1251,0.5,0.44,1
RFP-1252,0.33,0.21,0
RFP-1253,0.78,0.37,0
RFP-1254,0.85,0.27,0
RFP-1255,0.63,0.69,1
RFP-1256,0.99,0.39,1
RFP-1257,0.66,0.38,1
RFP-1258,0.45,0.35,1
RFP-1259,0.98,0.91,1
RFP-1260,1.0,0.34,1
RFP-1261,0.41,0.85,1
RFP-1262,0.46,0.63,1
RFP-1263,0.91,0.41,1
RFP-1264,0.92,0.96,1
RFP-1265,0.69,0.27,1
RFP-1266,0.56,0.41,1
RFP-1267,0.45,0.75,1
RFP-1268,0.9,0.6,1
RFP-1269,0.54,0.74,1
RFP-1270,0.49,0.9,0
RFP-1271,0.91,0.77,1
RFP-1272,0.79,0.74,1
RFP-1273,0.92,0.9,1
RFP-1274,0.88,0.3,1
RFP-1275,0.87,0.87,1
RFP-1276,0.3,0.43,0
RFP-1277,0.48,0.71,1
RFP-1278,0.85,0.29,0
RFP-1279,0.54,0.71,0
RFP-1280,0.37,0.95,1
RFP-1281,0.8,0.25,1
RFP-1282,0.54,0.7,0
RFP-1283,0.32,0.22,0
RFP-1284,0.64,0.82,1
RFP-1285,1.0,0.54,1
RFP-1286,0.41,0.84,1
RFP-1287,0.78,0.72,1
RFP-1288,0.97,0.32,1
RFP-1289,0.75,0.52,1
RFP-1290,0.99,0.53,1
RFP-1291,0.32,0.72,1
RFP-1292,0.91,0.58,1
RFP-1293,0.89,0.81,1
RFP-1294,0.39,0.23,0
RFP-1295,0.64,0.29,1
RFP-1296,0.78,0.54,1
RFP-1297,0.71,0.42,0
RFP-1298,0.52,0.56,0
RFP-1299,0.5,0.76,0
RFP-1300,0.85,0.23,1
RFP-1301,0.99,0.31,1
RFP-1302,0.73,0.76,1
RFP-1303,0.66,0.27,1
RFP-1304,0.32,0.26,0
RFP-1305,0.78,0.84,1
RFP-1306,0.42,0.28,1
RFP-1307,0.96,0.24,1
RFP-1308,0.8,0.9,1
RFP-1309,0.87,0.26,0
RFP-1310,0.68,0.85,1
RFP-1311,0.81,0.27,1
RFP-1312,0.47,0.33,0
RFP-1313,0.54,0.35,0
RFP-1314,0.76,0.6,1
RFP-1315,1.0,0.98,1
RFP-1316,0.44,0.74,0
RFP-1317,0.81,0.79,1
RFP-1318,0.54,0.5,1
RFP-1319,0.81,0.59,0
RFP-1320,0.93,0.54,0
RFP-1321,0.45,0.7,0
RFP-1322,0.81,0.31,1
RFP-1323,0.47,0.98,1
RFP-1324,0.9,0.59,1
RFP-1325,0.66,0.49,0
RFP-1326,0.41,0.51,0
RFP-1327,0.39,0.98,1
RFP-1328,0.47,0.26,1
RFP-1329,0.88,0.54,1
RFP-1330,0.73,0.77,1
RFP-1331,0.82,0.73,1
RFP-1332,0.89,0.84,1
RFP-1333,0.38,0.42,1
RFP-1334,0.67,0.95,1
RFP-1335,0.66,0.23,1
RFP-1336,0.99,0.97,1
RFP-1337,0.66,0.59,0
RFP-1338,0.4,0.22,1
RFP-1339,0.77,0.98,1
RFP-1340,0.77,0.56,0
RFP-1341,0.89,0.96,1
RFP-1342,0.65,0.69,1
RFP-1343,0.95,0.75,1
RFP-1344,0.45,0.73,1
RFP-1345,0.76,1.0,1
RFP-1346,0.98,0.53,1
RFP-1347,0.82,0.9,1
RFP-1348,0.53,0.73,0
RFP-1349,0.6,0.85,1
RFP-1350,0.68,0.2,1
RFP-1351,0.79,0.51,1
RFP-1352,0.47,0.5,0
RFP-1353,0.62,0.5,0
RFP-1354,0.66,0.58,0
RFP-1355,0.67,0.69,0
RFP-1356,0.87,0.77,1
RFP-1357,0.95,0.25,0
RFP-1358,0.55,0.28,1
RFP-1359,0.52,0.84,1
RFP-1360,0.52,0.69,1
RFP-1361,0.39,0.34,0
RFP-1362,0.43,0.62,0
RFP-1363,0.48,0.97,1
RFP-1364,0.86,0.64,0
RFP-1365,0.72,0.86,0
RFP-1366,0.46,0.37,0
RFP-1367,0.93,0.48,1
RFP-1368,0.85,0.42,0
RFP-1369,0.37,0.7,1
RFP-1370,0.71,0.33,1
RFP-1371,0.37,0.22,0
RFP-1372,0.72,0.64,1
RFP-1373,0.65,0.99,1
RFP-1374,0.79,0.52,1
RFP-1375,0.99,0.3,1
RFP-1376,0.81,0.66,1
RFP-1377,0.93,0.35,1
RFP-1378,0.46,0.48,1
RFP-1379,0.86,0.39,1
RFP-1380,0.92,0.72,1
RFP-1381,0.77,1.0,1
RFP-1382,0.69,0.78,1
RFP-1383,0.97,0.34,1
RFP-1384,0.44,0.63,0
RFP-1385,0.54,0.73,0
RFP-1386,0.95,0.39,0
RFP-1387,0.95,0.63,0
RFP-1388,0.66,0.7,1
RFP-1389,0.88,0.83,1
RFP-1390,0.33,0.44,1
RFP-1391,0.96,0.64,1
RFP-1392,0.58,0.56,0
RFP-1393,0.65,0.99,1
RFP-1394,0.45,0.94,1
RFP-1395,0.91,0.89,1
RFP-1396,0.85,0.44,1
RFP-1397,0.79,0.48,0
RFP-1398,0.75,0.86,1
RFP-1399,0.84,0.34,1
RFP-1400,0.58,0.32,1
RFP-1401,0.39,0.97,1
RFP-1402,0.98,0.55,1
RFP-1403,0.37,0.71,1
RFP-1404,0.73,0.72,1
RFP-1405,1.0,0.25,1
RFP-1406,0.99,0.39,1
RFP-1407,0.34,0.61,0
RFP-1408,0.87,0.69,1
RFP-1409,0.6,0.3,0
RFP-1410,0.61,0.36,0
RFP-1411,0.81,0.82,1
RFP-1412,0.59,0.59,1
RFP-1413,0.45,0.21,1
RFP-1414,0.98,0.84,1
RFP-1415,0.68,0.56,0
RFP-1416,0.37,0.59,0
RFP-1417,0.63,0.5,1
RFP-1418,0.62,0.83,0
RFP-1419,0.61,0.4,0
RFP-1420,0.33,0.92,1
RFP-1421,0.93,0.71,1
RFP-1422,0.35,0.61,0
RFP-1423,0.78,0.23,1
RFP-1424,0.8,0.26,1
RFP-1425,0.84,0.73,1
RFP-1426,0.42,0.28,1
RFP-1427,0.31,0.27,0
RFP-1428,0.51,0.82,1
RFP-1429,0.38,0.69,0
RFP-1430,0.75,0.62,0
RFP-1431,0.72,0.67,1
RFP-1432,0.87,0.73,0
RFP-1433,0.46,0.5,0
RFP-1434,0.61,0.69,0
RFP-1435,0.75,0.43,0
RFP-1436,0.9,0.88,1
RFP-1437,0.62,0.87,1
RFP-1438,0.84,0.72,0
RFP-1439,0.96,0.23,1
RFP-1440,0.39,0.78,0
RFP-1441,0.89,0.79,1
RFP-1442,0.71,0.61,1
RFP-1443,0.91,0.71,0
RFP-1444,0.41,0.57,0
RFP-1445,0.44,0.64,0
RFP-1446,0.73,0.35,1
RFP-1447,0.3,0.81,1
RFP-1448,0.82,0.36,1
RFP-1449,0.4,0.44,0
RFP-1450,1.0,0.49,1
RFP-1451,0.72,0.51,1
RFP-1452,0.79,0.2,0
RFP-1453,0.37,0.67,1
RFP-1454,0.75,0.25,1
RFP-1455,0.72,0.74,1
RFP-1456,0.49,0.86,1
RFP-1457,0.53,0.83,0
RFP-1458,0.85,0.61,1
RFP-1459,0.6,0.27,1
RFP-1460,0.72,0.79,1
RFP-1461,0.85,0.29,1
RFP-1462,0.89,0.51,1
RFP-1463,0.55,0.47,1
RFP-1464,0.32,0.87,1
RFP-1465,0.96,0.41,1
RFP-1466,0.91,0.87,1
RFP-1467,0.64,0.31,1
RFP-1468,0.81,0.6,1
RFP-1469,0.41,0.69,1
RFP-1470,0.83,0.73,1
RFP-1471,0.47,0.93,1
RFP-1472,0.49,0.81,1
RFP-1473,0.64,0.23,1
RFP-1474,0.93,0.31,1
RFP-1475,0.93,0.22,1
RFP-1476,0.97,0.65,0
RFP-1477,0.99,0.41,1
RFP-1478,0.44,0.65,0
RFP-1479,0.54,0.29,1
RFP-1480,0.46,0.4,0
RFP-1481,0.38,0.89,0
RFP-1482,0.35,0.77,0
RFP-1483,0.64,0.33,0
RFP-1484,0.89,0.74,0
RFP-1485,0.68,0.25,0
RFP-1486,0.86,0.57,1
RFP-1487,0.53,0.81,1
RFP-1488,0.44,0.9,0
RFP-1489,0.84,0.22,1
RFP-1490,0.62,0.93,1
RFP-1491,0.76,0.86,1
RFP-1492,0.84,0.97,1
RFP-1493,0.85,0.66,1
RFP-1494,0.86,0.52,1
RFP-1495,0.79,0.83,1
RFP-1496,0.9,0.92,1
RFP-1497,0.93,0.72,1
RFP-1498,0.61,0.69,0
RFP-1499,0.59,0.99,1
